Language Codes,Language family.1,ISO language name
af,Indo-European,Afrikaans
ar,Afro-Asiatic,Arabic
bg,Indo-European,Bulgarian
bn,Indo-European,Bengali
ca,Indo-European,"Catalan, Valencian"
cs,Indo-European,Czech
cy,Indo-European,Welsh
da,Indo-European,Danish
de,Indo-European,German
el,Indo-European,"Greek, Modern (1453–)"
en,Indo-European,English
es,Indo-European,"Spanish, Castilian"
et,Uralic,Estonian
fa,Indo-European,Persian
fi,Uralic,Finnish
fr,Indo-European,French
gu,Indo-European,Gujarati
he,Afro-Asiatic,Hebrew
hi,Indo-European,Hindi
hr,Indo-European,Croatian
hu,Uralic,Hungarian
id,Austronesian,Indonesian
it,Indo-European,Italian
ja,Japonic,Japanese
kn,Dravidian,Kannada
ko,Koreanic,Korean
lt,Indo-European,Lithuanian
lv,Indo-European,Latvian
mk,Indo-European,Macedonian
ml,Dravidian,Malayalam
mr,Indo-European,Marathi
ne,Indo-European,Nepali
nl,Indo-European,"Dutch, Flemish"
no,Indo-European,Norwegian
pa,Indo-European,"Punjabi, Panjabi"
pl,Indo-European,Polish
pt,Indo-European,Portuguese
ro,Indo-European,"Romanian, Moldavian, Moldovan"
ru,Indo-European,Russian
sk,Indo-European,Slovak
sl,Indo-European,Slovenian
so,Afro-Asiatic,Somali
sq,Indo-European,Albanian
sv,Indo-European,Swedish
sw,Niger–Congo,Swahili
ta,Dravidian,Tamil
te,Dravidian,Telugu
th,Tai–Kadai,Thai
tl,Austronesian,Tagalog
tr,Turkic,Turkish
uk,Indo-European,Ukrainian
ur,Indo-European,Urdu
vi,Austroasiatic,Vietnamese
zh-cn,,
zh-tw,,
