Code,Language Name,ISO language name,macroarea
ca,català,"Catalan, Valencian",
da,dansk,Danish,Eurasia
de,Deutsch,German,Eurasia
en-GB,English (United Kingdom),,
es,español,"Spanish, Castilian",
es-419,español (Latinoamérica),,
fil,Filipino,,
fr,français,French,Eurasia
hr,hrvatski,Croatian,
id,Indonesia,Indonesian,Papunesia
it,italiano,Italian,Eurasia
lv,latviešu,Latvian,Eurasia
lt,lietuvių,Lithuanian,Eurasia
hu,magyar,Hungarian,Eurasia
nl,Nederlands,"Dutch, Flemish",
no,norsk,Norwegian,Eurasia
pl,polski,Polish,Eurasia
pt,português,Portuguese,Eurasia
pt-BR,português (Brasil),,
ro,română,"Romanian, Moldavian, Moldovan",
sk,slovenčina,Slovak,Eurasia
sl,slovenščina,Slovenian,
fi,suomi,Finnish,Eurasia
sv,svenska,Swedish,Eurasia
vi,Tiếng Việt,Vietnamese,Eurasia
tr,Türkçe,Turkish,Eurasia
cs,čeština,Czech,Eurasia
el,Ελληνικά,"Greek, Modern (1453–)",
bg,български,Bulgarian,Eurasia
ru,русский,Russian,Eurasia
sr,српски,Serbian,
uk,українська,Ukrainian,Eurasia
iw,‏עברית,,
ur,‏اردو,Urdu,Eurasia
ar,‏العربية,Arabic,
hi,हिन्दी,Hindi,Eurasia
bn,বাংলা,Bengali,Eurasia
th,ไทย,Thai,Eurasia
zh-Hans,中文（简体）,,
zh-Hant,中文（繁體）,,
ja,日本語,Japanese,Eurasia
ko,한국어,Korean,Eurasia
en,English,English,Eurasia
